dates
11/25/14
06/08/2014
09/12/2014
5/26/14
2/20/14
6/19/14
10/10/2014
10/22/14
07/06/2014
9/20/14
04/08/2014
8/29/14
01/09/2014
04/04/2014
03/01/2014
06/11/2014
8/27/14
09/05/2014
4/30/14
5/22/14
3/16/14
9/20/14
09/12/2014
9/21/14
5/18/14
11/08/2014
4/14/14
06/03/2014
3/28/14
12/15/14
06/04/2014
7/14/14
1/15/14
7/16/14
7/15/14
02/02/2014
02/03/2014
9/17/14
4/17/14
3/18/14
06/06/2014
7/28/14
10/12/2014
5/18/14
5/14/14
04/08/2014
4/25/14
10/05/2014
8/17/14
05/08/2014
04/09/2014
12/18/14
8/18/14
08/04/2014
07/08/2014
02/01/2014
09/01/2014
06/10/2014
10/19/14
1/31/14
02/04/2014
6/30/14
04/02/2014
2/23/14
4/14/14
06/10/2014
02/10/2014
03/07/2014
01/09/2014
11/05/2014
11/23/14
4/30/14
7/20/14
08/09/2014
5/19/14
02/05/2014
4/14/14
6/13/14
12/20/14
8/17/14
10/29/14
10/02/2014
10/06/2014
4/24/14
12/16/14
8/21/14
6/17/14
11/03/2014
9/17/14
3/13/14
6/30/14
10/21/14
1/22/14
8/30/14
11/23/14
5/28/14
1/26/14
03/03/2014
11/30/14
9/15/14
8/15/14
1/24/14
4/29/14
08/04/2014
3/13/14
6/16/14
1/29/14
5/17/14
11/08/2014
12/28/14
4/27/14
10/04/2014
11/05/2014
11/26/14
12/03/2014
12/09/2014
8/18/14
12/09/2014
3/21/14
4/26/14
02/10/2014
1/28/14
12/17/14
09/06/2014
1/27/14
1/31/14
9/14/14
10/14/14
01/02/2014
11/21/14
10/14/14
12/28/14
3/28/14
5/29/14
01/07/2014
7/26/14
09/09/2014
10/01/2014
10/02/2014
10/03/2014
05/11/2014
10/23/14
10/28/14
4/14/14
6/29/14
11/15/14
9/16/14
7/17/14
12/21/14
8/27/14
3/22/14
11/06/2014
11/03/2014
3/21/14
9/17/14
3/19/14
12/08/2014
02/12/2014
02/06/2014
9/13/14
1/27/14
7/15/14
02/02/2014
10/15/14
4/22/14
6/25/14
11/24/14
3/19/14
10/13/14
9/21/14
04/10/2014
2/17/14
3/23/14
08/10/2014
04/01/2014
10/16/14
2/16/14
10/22/14
08/10/2014
5/15/14
3/28/14
09/09/2014
09/12/2014
07/02/2014
2/23/14
12/18/14
07/08/2014
09/04/2014
3/19/14
1/13/14
08/07/2014
11/10/2014
5/28/14
07/06/2014
7/22/14
10/29/14
1/17/14
03/01/2014
03/02/2014
2/27/14
